Seq1	Seq1	100.000	357	0	0	1	357	1	357	0.0	708
Seq2	Seq1	100.000	356	0	0	1	356	1	356	0.0	706
Seq3	Seq1	100.000	13	0	0	137	149	131	143	0.002	26.3
Seq4	Seq1	93.333	15	1	0	325	339	316	330	0.024	22.3
Seq5	Seq1	90.909	22	2	0	2	23	2	23	3.96e-04	28.2
Seq6	Seq1	99.720	357	1	0	1	357	1	357	0.0	700
Seq7	Seq1	95.000	20	1	0	1	20	1	20	2.58e-05	32.2
Seq8	Seq1	100.000	13	0	0	137	149	131	143	0.002	26.3
Seq9	Seq1	100.000	13	0	0	137	149	131	143	0.002	26.3
Seq10	Seq1	94.118	17	1	0	226	242	229	245	0.002	26.3
Seq11	Seq1	100.000	12	0	0	99	110	99	110	0.006	24.3
Seq12	Seq1	90.000	20	2	0	1	20	1	20	0.006	24.3
Seq13	Seq1	95.000	20	1	0	1	20	1	20	2.47e-05	32.2
Seq14	Seq1	100.000	15	0	0	1	15	1	15	8.41e-05	30.2
Seq15	Seq1	94.118	17	1	0	229	245	229	245	0.002	26.3
Seq16	Seq1	100.000	12	0	0	99	110	99	110	0.007	24.3
Seq17	Seq1	95.000	20	1	0	1	20	1	20	2.45e-05	32.2
Seq18	Seq1	100.000	9	0	0	4	12	4	12	0.36	18.3
Seq19	Seq1	91.304	23	2	0	1	23	1	23	1.00e-04	30.2
Seq20	Seq1	93.333	15	1	0	325	339	316	330	0.024	22.3
Seq21	Seq1	90.000	20	2	0	1	20	1	20	0.006	24.3
Seq22	Seq1	100.000	12	0	0	99	110	99	110	0.006	24.3
Seq23	Seq1	95.000	20	1	0	1	20	1	20	2.54e-05	32.2
Seq24	Seq1	93.333	15	1	0	322	336	316	330	0.024	22.3
Seq25	Seq1	100.000	12	0	0	1	12	1	12	0.007	24.3
Seq26	Seq1	88.889	18	2	0	270	287	264	281	0.10	20.3
Seq27	Seq1	100.000	12	0	0	1	12	1	12	0.006	24.3
Seq28	Seq1	94.118	17	1	0	229	245	229	245	0.002	26.3
Seq29	Seq1	95.000	20	1	0	1	20	1	20	2.54e-05	32.2
Seq30	Seq1	100.000	11	0	0	2	12	2	12	0.024	22.3
Seq31	Seq1	93.750	16	1	0	321	336	315	330	0.006	24.3
Seq32	Seq1	93.750	16	1	0	324	339	315	330	0.006	24.3
Seq33	Seq1	100.000	9	0	0	257	265	239	247	0.38	18.3
Seq34	Seq1	100.000	13	0	0	137	149	131	143	0.002	26.3
Seq35	Seq1	100.000	11	0	0	131	141	131	141	0.024	22.3
Seq36	Seq1	100.000	13	0	0	137	149	131	143	0.001	26.3
Seq37	Seq1	100.000	10	0	0	138	147	132	141	0.095	20.3
Seq38	Seq1	99.720	357	1	0	1	357	1	357	0.0	700
